task_id,program_id,category,original_availability,slice_availability,original_soundness,slice_soundness,original_completeness,slice_completeness,soundness_agreement,completeness_agreement,inconclusive_reason
BR-056-T01,BR-056,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-056-T02,BR-056,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-056-T03,BR-056,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-057-T01,BR-057,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-057-T02,BR-057,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-057-T03,BR-057,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-058-T01,BR-058,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-058-T02,BR-058,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-058-T03,BR-058,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-059-T01,BR-059,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-059-T02,BR-059,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-059-T03,BR-059,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-060-T01,BR-060,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-060-T02,BR-060,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-060-T03,BR-060,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-061-T01,BR-061,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-061-T02,BR-061,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-061-T03,BR-061,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-062-T01,BR-062,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-062-T02,BR-062,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-062-T03,BR-062,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-063-T01,BR-063,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-063-T02,BR-063,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-063-T03,BR-063,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-064-T01,BR-064,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-064-T02,BR-064,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-064-T03,BR-064,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-065-T01,BR-065,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-065-T02,BR-065,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-065-T03,BR-065,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-066-T01,BR-066,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-066-T02,BR-066,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-066-T03,BR-066,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-067-T01,BR-067,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-067-T02,BR-067,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-067-T03,BR-067,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-068-T01,BR-068,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-068-T02,BR-068,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-068-T03,BR-068,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-069-T01,BR-069,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-069-T02,BR-069,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-069-T03,BR-069,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-070-T01,BR-070,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-070-T02,BR-070,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-070-T03,BR-070,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-071-T01,BR-071,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-071-T02,BR-071,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-071-T03,BR-071,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-072-T01,BR-072,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-072-T02,BR-072,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-072-T03,BR-072,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-073-T01,BR-073,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-073-T02,BR-073,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-073-T03,BR-073,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-074-T01,BR-074,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-074-T02,BR-074,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-074-T03,BR-074,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-075-T01,BR-075,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-075-T02,BR-075,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-075-T03,BR-075,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-076-T01,BR-076,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-076-T02,BR-076,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-076-T03,BR-076,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-077-T01,BR-077,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-077-T02,BR-077,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-077-T03,BR-077,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-078-T01,BR-078,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-078-T02,BR-078,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-078-T03,BR-078,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-079-T01,BR-079,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-079-T02,BR-079,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-079-T03,BR-079,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-080-T01,BR-080,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-080-T02,BR-080,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-080-T03,BR-080,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-081-T01,BR-081,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-081-T02,BR-081,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-081-T03,BR-081,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-082-T01,BR-082,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-082-T02,BR-082,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-082-T03,BR-082,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-083-T01,BR-083,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-083-T02,BR-083,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-083-T03,BR-083,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-084-T01,BR-084,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-084-T02,BR-084,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-084-T03,BR-084,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-085-T01,BR-085,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-085-T02,BR-085,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-085-T03,BR-085,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-086-T01,BR-086,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-086-T02,BR-086,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-086-T03,BR-086,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-087-T01,BR-087,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-087-T02,BR-087,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-087-T03,BR-087,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-088-T01,BR-088,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-088-T02,BR-088,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-088-T03,BR-088,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-089-T01,BR-089,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-089-T02,BR-089,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-089-T03,BR-089,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-090-T01,BR-090,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-090-T02,BR-090,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-090-T03,BR-090,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-091-T01,BR-091,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-091-T02,BR-091,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-091-T03,BR-091,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-092-T01,BR-092,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-092-T02,BR-092,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-092-T03,BR-092,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-093-T01,BR-093,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-093-T02,BR-093,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-093-T03,BR-093,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-094-T01,BR-094,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-094-T02,BR-094,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-094-T03,BR-094,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-095-T01,BR-095,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-095-T02,BR-095,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-095-T03,BR-095,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-096-T01,BR-096,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-096-T02,BR-096,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-096-T03,BR-096,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-097-T01,BR-097,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-097-T02,BR-097,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-097-T03,BR-097,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-098-T01,BR-098,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-098-T02,BR-098,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-098-T03,BR-098,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-099-T01,BR-099,Branched,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_APPLICABLE,NOT_APPLICABLE,MALFORMED_FSF
BR-099-T02,BR-099,Branched,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_APPLICABLE,NOT_APPLICABLE,UNSUPPORTED_SYMBOL
BR-099-T03,BR-099,Branched,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_APPLICABLE,NOT_APPLICABLE,EXPRESSION_TRANSLATION_ERROR
BR-100-T01,BR-100,Branched,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_APPLICABLE,NOT_APPLICABLE,TOOL_EXCEPTION
BR-100-T02,BR-100,Branched,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_APPLICABLE,NOT_APPLICABLE,MALFORMED_FSF
BR-100-T03,BR-100,Branched,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_APPLICABLE,NOT_APPLICABLE,UNSUPPORTED_SYMBOL
SQ-001-T01,SQ-001,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-001-T02,SQ-001,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-001-T03,SQ-001,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-002-T01,SQ-002,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-002-T02,SQ-002,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-002-T03,SQ-002,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-003-T01,SQ-003,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-003-T02,SQ-003,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-003-T03,SQ-003,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-004-T01,SQ-004,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-004-T02,SQ-004,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-004-T03,SQ-004,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-005-T01,SQ-005,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-005-T02,SQ-005,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-005-T03,SQ-005,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-006-T01,SQ-006,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-006-T02,SQ-006,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-006-T03,SQ-006,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-007-T01,SQ-007,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-007-T02,SQ-007,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-007-T03,SQ-007,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-008-T01,SQ-008,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-008-T02,SQ-008,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-008-T03,SQ-008,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-009-T01,SQ-009,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-009-T02,SQ-009,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-009-T03,SQ-009,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-010-T01,SQ-010,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-010-T02,SQ-010,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-010-T03,SQ-010,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-011-T01,SQ-011,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-011-T02,SQ-011,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-011-T03,SQ-011,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-012-T01,SQ-012,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-012-T02,SQ-012,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-013-T01,SQ-013,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-013-T02,SQ-013,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-014-T01,SQ-014,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-014-T02,SQ-014,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-015-T01,SQ-015,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-015-T02,SQ-015,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-016-T01,SQ-016,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-016-T02,SQ-016,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-017-T01,SQ-017,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-017-T02,SQ-017,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-018-T01,SQ-018,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-018-T02,SQ-018,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-019-T01,SQ-019,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-019-T02,SQ-019,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-020-T01,SQ-020,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-020-T02,SQ-020,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-021-T01,SQ-021,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-021-T02,SQ-021,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-022-T01,SQ-022,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-022-T02,SQ-022,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-023-T01,SQ-023,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-023-T02,SQ-023,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-024-T01,SQ-024,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-024-T02,SQ-024,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-025-T01,SQ-025,Sequential,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
SQ-025-T02,SQ-025,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
SQ-026-T01,SQ-026,Sequential,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
